LandisData	"Ecoregions"		

>> 	Map Code		
>>Active	Name	Description
>>--------------------------------------------------------			
yes	389	CLIM0389	2
yes	390	CLIM0390	3
yes	391	CLIM0391	1
yes	392	CLIM0392	2
yes	393	CLIM0393	3
yes	394	CLIM0394	1
yes	395	CLIM0395	2
yes	396	CLIM0396	3
yes	397	CLIM0397	1
yes	398	CLIM0398	2
yes	399	CLIM0399	3
yes	400	CLIM0400	1
yes	401	CLIM0401	2
yes	402	CLIM0402	3
yes	403	CLIM0403	1
yes	404	CLIM0404	2
yes	405	CLIM0405	3
yes	406	CLIM0406	1
yes	407	CLIM0407	2
yes	408	CLIM0408	3
yes	409	CLIM0409	1
yes	410	CLIM0410	2
yes	411	CLIM0411	3
yes	412	CLIM0412	1
yes	413	CLIM0413	2
yes	414	CLIM0414	3
yes	415	CLIM0415	1
yes	416	CLIM0416	2
yes	417	CLIM0417	3
yes	418	CLIM0418	1
yes	419	CLIM0419	2
yes	420	CLIM0420	3
yes	421	CLIM0421	1
yes	422	CLIM0422	2
yes	423	CLIM0423	3
yes	424	CLIM0424	1
yes	425	CLIM0425	2
yes	426	CLIM0426	3
yes	427	CLIM0427	1
yes	428	CLIM0428	2
yes	429	CLIM0429	3
yes	430	CLIM0430	1
yes	431	CLIM0431	2
yes	432	CLIM0432	3
yes	433	CLIM0433	1
yes	434	CLIM0434	2
yes	435	CLIM0435	3
yes	436	CLIM0436	1
yes	437	CLIM0437	2
yes	438	CLIM0438	3
yes	439	CLIM0439	1
yes	440	CLIM0440	2
yes	441	CLIM0441	3
yes	442	CLIM0442	1
yes	443	CLIM0443	2
yes	444	CLIM0444	3
yes	445	CLIM0445	1
yes	446	CLIM0446	2
yes	447	CLIM0447	3
yes	448	CLIM0448	1
yes	449	CLIM0449	2
yes	450	CLIM0450	3
yes	451	CLIM0451	1
yes	452	CLIM0452	2
yes	453	CLIM0453	3
yes	454	CLIM0454	1
yes	455	CLIM0455	2
yes	456	CLIM0456	3
yes	457	CLIM0457	1
yes	458	CLIM0458	2
yes	459	CLIM0459	3
yes	460	CLIM0460	1
yes	461	CLIM0461	2
yes	462	CLIM0462	3
yes	463	CLIM0463	1
yes	464	CLIM0464	2
yes	465	CLIM0465	3
yes	466	CLIM0466	1
yes	467	CLIM0467	2
yes	468	CLIM0468	3
yes	469	CLIM0469	1
yes	470	CLIM0470	2
yes	471	CLIM0471	3
yes	472	CLIM0472	1
yes	473	CLIM0473	2
yes	474	CLIM0474	3
yes	475	CLIM0475	1
yes	476	CLIM0476	2
yes	477	CLIM0477	3
yes	478	CLIM0478	1
yes	479	CLIM0479	2
yes	480	CLIM0480	3
yes	481	CLIM0481	1
yes	482	CLIM0482	2
yes	483	CLIM0483	3
yes	484	CLIM0484	1
yes	485	CLIM0485	2
yes	486	CLIM0486	3
yes	487	CLIM0487	1
yes	488	CLIM0488	2
yes	489	CLIM0489	3
yes	490	CLIM0490	1
yes	491	CLIM0491	2
yes	492	CLIM0492	3
yes	493	CLIM0493	1
yes	494	CLIM0494	2
yes	495	CLIM0495	3
yes	496	CLIM0496	1
yes	497	CLIM0497	2
yes	498	CLIM0498	3
yes	499	CLIM0499	1
yes	500	CLIM0500	2
yes	501	CLIM0501	3
yes	502	CLIM0502	1
yes	503	CLIM0503	2
yes	504	CLIM0504	3
yes	505	CLIM0505	1
yes	506	CLIM0506	2
yes	507	CLIM0507	3
yes	508	CLIM0508	1
yes	509	CLIM0509	2
yes	510	CLIM0510	3
yes	511	CLIM0511	1
yes	512	CLIM0512	2
yes	513	CLIM0513	3
yes	514	CLIM0514	1
yes	515	CLIM0515	2
yes	516	CLIM0516	3
yes	517	CLIM0517	1
yes	518	CLIM0518	2
yes	519	CLIM0519	3
yes	520	CLIM0520	1
yes	521	CLIM0521	2
yes	522	CLIM0522	3
yes	523	CLIM0523	1
yes	524	CLIM0524	2
yes	525	CLIM0525	3
yes	526	CLIM0526	1
yes	527	CLIM0527	2
yes	528	CLIM0528	3
yes	529	CLIM0529	1
yes	530	CLIM0530	2
yes	531	CLIM0531	3
yes	532	CLIM0532	1
yes	533	CLIM0533	2
yes	534	CLIM0534	3
yes	535	CLIM0535	1
yes	536	CLIM0536	2
yes	537	CLIM0537	3
yes	538	CLIM0538	1
yes	539	CLIM0539	2
yes	540	CLIM0540	3
yes	541	CLIM0541	1
yes	542	CLIM0542	2
yes	543	CLIM0543	3
yes	544	CLIM0544	1
yes	545	CLIM0545	2
yes	546	CLIM0546	3
yes	547	CLIM0547	1
yes	548	CLIM0548	2
yes	549	CLIM0549	3
yes	550	CLIM0550	1
yes	551	CLIM0551	2
yes	552	CLIM0552	3
yes	553	CLIM0553	1
yes	554	CLIM0554	2
yes	555	CLIM0555	3
yes	556	CLIM0556	1
yes	557	CLIM0557	2
yes	558	CLIM0558	3
yes	559	CLIM0559	1
yes	560	CLIM0560	2
yes	561	CLIM0561	3
yes	562	CLIM0562	1
yes	563	CLIM0563	2
yes	564	CLIM0564	3
yes	565	CLIM0565	1
yes	566	CLIM0566	2
yes	567	CLIM0567	3
yes	568	CLIM0568	1
yes	569	CLIM0569	2
yes	570	CLIM0570	3
yes	571	CLIM0571	1
yes	572	CLIM0572	2
yes	573	CLIM0573	3
yes	574	CLIM0574	1
yes	575	CLIM0575	2
yes	576	CLIM0576	3
yes	577	CLIM0577	1
yes	578	CLIM0578	2
yes	579	CLIM0579	3
yes	580	CLIM0580	1
yes	581	CLIM0581	2
yes	582	CLIM0582	3
yes	583	CLIM0583	1
yes	584	CLIM0584	2
yes	585	CLIM0585	3
yes	586	CLIM0586	1
yes	587	CLIM0587	2
yes	588	CLIM0588	3
yes	589	CLIM0589	1
yes	590	CLIM0590	2
yes	591	CLIM0591	3
yes	592	CLIM0592	1
yes	593	CLIM0593	2
yes	594	CLIM0594	3
yes	595	CLIM0595	1
yes	596	CLIM0596	2
yes	597	CLIM0597	3
yes	598	CLIM0598	1
yes	599	CLIM0599	2
yes	600	CLIM0600	3
yes	601	CLIM0601	1
yes	602	CLIM0602	2
yes	603	CLIM0603	3
yes	604	CLIM0604	1
yes	605	CLIM0605	2
yes	606	CLIM0606	3
