,SpeciesName,MapCode,CohortAge,CohortBiomass,Trees_a1,Trees_a2,Trees_a3,DBH_a1,DBH_a2,DBH_a3,Height_a1,Height_a2,Height_a3,Spatial_a1,Spatial_a2,Spatial_a3,Crown_a1,Crown_a2,Crown_a3,number_trees,height,crown_width,spatial_contagion,Age_class
43,RedMaple,1050066,100,812,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,154,100,23,0.16,3
46,RedMaple,1051168,100,1318,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,170,115,24,0.16,3
47,RedMaple,1050064,100,868,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,156,101,23,0.16,3
50,RedMaple,1050065,100,1325,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,170,115,24,0.16,3
55,RedMaple,1051167,100,873,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,156,102,23,0.16,3
62,RedMaple,1051169,100,821,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,155,100,23,0.16,3
39,RedMaple,1051168,110,2376,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,202,152,26,0.176,3
48,RedMaple,1050064,110,2469,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,204,155,26,0.176,3
56,RedMaple,1050065,110,2385,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,202,152,26,0.176,3
61,RedMaple,1051167,110,2494,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,205,156,26,0.176,3
59,RedMaple,1050066,120,684,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,149,104,25,0.192,3
60,RedMaple,1051169,120,691,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,149,105,25,0.192,3
51,RedMaple,1050066,130,881,138.46,-0.09,0.0307,0,0,0,30.7,0.44,0.004,0,0.0016,0.0762,12.53,0.092,0.0015,154,115,26,0.208,3
